lu_category,latitude,longitude,area_sqm
commercial,1.3206816618146566,103.66100614998405,3447.916153545
commercial,1.3225082018024348,103.65570135669444,6223.3463232
commercial,1.3228716722592004,103.65776221845216,9511.4083152
commercial,1.325617357809293,103.65254777946926,3663.646412
commercial,1.3225122287636606,103.65014858410295,17802.2047675
commercial,1.3217252659364933,103.65320706434319,20721.26270885
commercial,1.326789732250937,103.65380741181207,4006.1054965
commercial,1.3223722682871966,103.65732843371373,4756.48655145
commercial,1.3227990313045015,103.64875457304277,3959.8557425
commercial,1.3244722772766582,103.6526990765534,3661.29199175
commercial,1.322484496349735,103.65881995197148,5742.8096865
commercial,1.3256984206536073,103.65893108733609,32646.659325145
commercial,1.3202477187961916,103.65943688454502,4560.344328
commercial,1.3204273122198291,103.65054724238584,7283.808894
commercial,1.3237302427764763,103.65714410000615,5699.6604322
commercial,1.3255340779158915,103.65381957971137,7896.3356143
commercial,1.3211837488885307,103.65406084084616,10360.56658175
commercial,1.3212926085363739,103.6589596826977,4703.8490395
commercial,1.3228805139416273,103.65604882870562,5699.421693
commercial,1.3229513077741875,103.65927445551812,5103.1128479
commercial,1.3240498320442475,103.65579035830574,15849.82487275
commercial,1.325982052450183,103.6540520727377,7896.3810045
commercial,1.3192083089970907,103.6541261595368,7725.18138495
commercial,1.3262445478589118,103.6532951037728,4006.40624455
commercial,1.3256868236123391,103.64674935558558,8500.02668945
commercial,1.321383149611935,103.65232723915403,401.148540905
commercial,1.3267405541449988,103.65724031242831,61728.02670055
commercial,1.3265851217021492,103.65354632977741,4006.3675203
commercial,1.3210734825680068,103.65144607423119,7395.7471
commercial,1.3194191917449836,103.65945074215793,4194.889227
commercial,1.3251817670372223,103.65682567629435,8537.8070727
commercial,1.3186629238041987,103.65234237708954,7864.7228408
commercial,1.3207521389513999,103.65959742366141,4560.240103
commercial,1.3226222480087202,103.64800808525678,12698.553612225
commercial,1.3225611314646195,103.65444004155111,10329.225336
commercial,1.3232463349880792,103.6581495744424,4756.7204325
commercial,1.3214067127477216,103.65759731898288,4704.007587
commercial,1.3259096388991407,103.65298039278376,4006.4924669
commercial,1.3247358019520639,103.6524221874608,4051.06351245
commercial,1.3236285825806398,103.65855410654153,5160.3911485
commercial,1.3220768783502637,103.65841750522671,8367.7920605
commercial,1.3209804821709654,103.65866642009114,4703.753151
commercial,1.3223761236399747,103.65991818723606,4184.02174495
commercial,1.3240660905986386,103.65431684457845,8414.73333895
commercial,1.3195214454853375,103.65155276118153,7288.77222005
commercial,1.3232381452790667,103.6552363812307,3986.78311
commercial,1.3217188356113136,103.65789059406207,4704.010515
commercial,1.3191463479920502,103.65281298901111,7872.2879534
commercial,1.324438533482524,103.65763386576586,6007.7686235
commercial,1.3207667542504178,103.65101496937821,7395.553915
commercial,1.3200412549931135,103.65352446272856,7429.78162075
commercial,1.3199597306750215,103.66031813252286,10348.21295614
commercial,1.3192090369824234,103.65742964152152,40263.3779581
commercial,1.3236395820326317,103.65447017478111,408.375116
commercial,1.3194055716091946,103.65571317640023,20736.4003235
commercial,1.3242331709877353,103.65201518756206,13847.5752698
commercial,1.3245019220557839,103.65470354737063,7924.923155
commercial,1.3220280392129737,103.65675061910538,6509.800658
commercial,1.321725228761761,103.65552541940659,10301.505466395
commercial,1.320217891715111,103.655100135527,12359.9758335
commercial,1.3268412905457465,103.65501199587783,8600.07725565
commercial,1.3250949384370438,103.65317901111794,8587.3813845
commercial,1.3200784938023067,103.65165438497263,7395.9106035
commercial,1.3206242165995674,103.65606830848678,11195.648263
commercial,1.3206109504769545,103.65759823572728,186.819449
commercial,1.3220999951035175,103.65492191706315,10292.418795
commercial,1.3246070261805716,103.65646163733827,7924.77981325
commercial,1.317963415539893,103.6583353563279,24275.570893565
commercial,1.3263348594701143,103.65465153960267,7896.4229679
commercial,1.3217120920769692,103.65914387874845,4704.088983
commercial,1.3186464160314668,103.6544078836823,7725.3600635
commercial,1.3210411154118127,103.65736954965998,5000.6726885
commercial,1.3227039918671835,103.65081804617994,15129.9039555
commercial,1.327596405855421,103.65440099298071,3998.87681825
commercial,1.3252107868651772,103.64632839608146,8384.567758
commercial,1.3282091976589743,103.65357574410727,1416.1587303
commercial,1.3256067214187408,103.6481750310116,1416.564601
commercial,1.3282522080566983,103.65619695030412,8396.07947215
commercial,1.3321805278953853,103.65306555717112,8059.064150505
commercial,1.326832938693323,103.65202528937004,5499.201308
commercial,1.324949772121345,103.6486087190417,2887.23014
commercial,1.3306800846085778,103.65102865556474,2321.4914374
commercial,1.326279075752486,103.64885937934214,5236.969725
commercial,1.3285446022584995,103.65322334618043,1418.46822865
commercial,1.325856806941171,103.64998580440768,10910.1511517
commercial,1.3282486789732535,103.65272055302871,408.1991207
