sn,outlet_name,full_address,building,street,unit,postal_code,outlet_type
88,78 Block 101 Yishun Avenue 5 #01-37 SPPL Branch - ,78 Block 101 Yishun Avenue 5 #01-37 SPPL Branch - Yishun N1 760101,,,,760101,Branch
89,79 Block 256 Yishun Ring Road #01-1001 SPPL Branch,79 Block 256 Yishun Ring Road #01-1001 SPPL Branch - Yishun N2 760256,,,,760256,Branch
90,80 Block 415 Yishun Avenue 11 #01-311 SPPL Branch ,80 Block 415 Yishun Avenue 11 #01-311 SPPL Branch - Yishun N4 760415,,,,760415,Branch
91,81 Block 761 Yishun Street 72 #01-340 SPPL Branch ,81 Block 761 Yishun Street 72 #01-340 SPPL Branch - Yishun N7 760761,,,,760761,Branch
92,82 Block 215 Bedok North Street 1 #02-87 OCB - Bed,82 Block 215 Bedok North Street 1 #02-87 OCB - Bedok Centre (Lottery lobby) 460215,,,,460215,Betting Centre
93,83 Connection ONE Tower 2/ Block 169 Jalan Bukit M,83 Connection ONE Tower 2/ Block 169 Jalan Bukit Merah #01-20 OCB - Bukit Merah (Lottery lobby) 150169,,,,150169,Betting Centre
94,84 Block 47 Holland Drive #01-385 OCB - Holland Dr,84 Block 47 Holland Drive #01-385 OCB - Holland Drive (Lottery lobby) 270047,,,,270047,Betting Centre
95,85 The Majestic/ 80 Eu Tong Sen Street #01 OCB - M,85 The Majestic/ 80 Eu Tong Sen Street #01 OCB - Majestic (Lottery lobby) 059810,,,,059810,Betting Centre
96,86 Block 677 Rangoon Road #02-00 OCB - Rangoon (Lo,86 Block 677 Rangoon Road #02-00 OCB - Rangoon (Lottery lobby) 210677,,,,210677,Betting Centre
97,87 Block 267 Serangoon Avenue 3 #02-01 OCB - Seran,87 Block 267 Serangoon Avenue 3 #02-01 OCB - Serangoon Avenue 3 (Lottery lobby) 550267,,,,550267,Betting Centre
98,88 Singapore Pools/210 Middle Road #01-01 Singapor,88 Singapore Pools/210 Middle Road #01-01 Singapore Pools (Lottery lobby) 188994,,,,188994,Lottery Lobby
99,89 Block 123 Bedok North Street 2 #01-158 7-Eleven,89 Block 123 Bedok North Street 2 #01-158 7-Eleven Store Bedok North Street 2 460123,,,,460123,Authorised Retailer (7-Eleven)
100,90 Block 132 Bukit Batok West Avenue 6 #01-304 7-E,90 Block 132 Bukit Batok West Avenue 6 #01-304 7-Eleven Store Bukit Batok West Avenue 6 650132,,,,650132,Authorised Retailer (7-Eleven)
101,91 38A Changi Road 7-Eleven Store Changi Road 4197,91 38A Changi Road 7-Eleven Store Changi Road 419701,,,,419701,Authorised Retailer (7-Eleven)
102,92 Block 689B Choa Chu Kang Drive #01-306 7-Eleven,92 Block 689B Choa Chu Kang Drive #01-306 7-Eleven Store Choa Chu Kang Drive 682689,,,,682689,Authorised Retailer (7-Eleven)
103,93 58 Circular Road #01-01 7-Eleven Store Circular,93 58 Circular Road #01-01 7-Eleven Store Circular Road 049413,,,,049413,Authorised Retailer (7-Eleven)
104,94 Block 109 Clementi Street 11 #01-15 7-Eleven St,94 Block 109 Clementi Street 11 #01-15 7-Eleven Store Clementi Street 11 120109,,,,120109,Authorised Retailer (7-Eleven)
105,95 Esplanade MRT Station/ 90 Bras Basah Road #B1-2,95 Esplanade MRT Station/ 90 Bras Basah Road #B1-20/21/22 7-Eleven Store Esplanade MRT Station 189562,,,,189562,Authorised Retailer (7-Eleven)
106,96 Block 1A Eunos Crescent #01-2469/2471 7-Eleven ,96 Block 1A Eunos Crescent #01-2469/2471 7-Eleven Store Eunos Crescent 401001,,,,401001,Authorised Retailer (7-Eleven)
107,97 Hoa Nam Building/ 27 Foch Road #01-07/08 7-Elev,97 Hoa Nam Building/ 27 Foch Road #01-07/08 7-Eleven Store Foch Road 209264,,,,209264,Authorised Retailer (7-Eleven)
108,98 3 McCallum Street 7-Eleven Store McCallum Stree,98 3 McCallum Street 7-Eleven Store McCallum Street 069044,,,,069044,Authorised Retailer (7-Eleven)
109,99 Block 45 Owen Road #01-295 7-Eleven Store Owen ,99 Block 45 Owen Road #01-295 7-Eleven Store Owen Road 210045,,,,210045,Authorised Retailer (7-Eleven)
110,100 Plaza Singapura/ 68 Orchard Road #01-51 7-Elev,100 Plaza Singapura/ 68 Orchard Road #01-51 7-Eleven Store Plaza Singapura 238839,,,,238839,Authorised Retailer (7-Eleven)
111,101 244H Upper Thomson Road 7-Eleven Store Sin Min,101 244H Upper Thomson Road 7-Eleven Store Sin Ming 574369,,,,574369,Authorised Retailer (7-Eleven)
112,102 6 Sixth Avenue 7-Eleven Store Sixth Avenue 276,102 6 Sixth Avenue 7-Eleven Store Sixth Avenue 276472,,,,276472,Authorised Retailer (7-Eleven)
113,103 912 Upper Thomson Road 7-Eleven Store Upper Th,103 912 Upper Thomson Road 7-Eleven Store Upper Thomson Road 787113,,,,787113,Authorised Retailer (7-Eleven)
114,104 Block 103 Yishun Ring Road #01-69 7-Eleven Sto,104 Block 103 Yishun Ring Road #01-69 7-Eleven Store Yishun Ring Road 760103,,,,760103,Authorised Retailer (7-Eleven)
115,105 Block 121 Bedok Reservoir Road #01-200 A.P. Mi,105 Block 121 Bedok Reservoir Road #01-200 A.P. Mini Mart - Bedok Reservoir Road 470121,,,,470121,Authorised Retailer
116,106 Block 234 Lorong 8 Toa Payoh #01-286 A.P. Mini,106 Block 234 Lorong 8 Toa Payoh #01-286 A.P. Mini Mart - Lorong 8 Toa Payoh 310234,,,,310234,Authorised Retailer
117,107 450 Geylang Road ACE Signature Geylang Road 38,107 450 Geylang Road ACE Signature Geylang Road 389409,,,,389409,Authorised Retailer
118,108 LIV@Changi/ 933 Upper Changi Road North #01-01,108 LIV@Changi/ 933 Upper Changi Road North #01-01 ACE Signature LIV@Changi 506785,,,,506785,Authorised Retailer
119,109 New Tech Park/151 Lorong Chuan #01-22 ACE Sign,109 New Tech Park/151 Lorong Chuan #01-22 ACE Signature New Tech Park 556741,,,,556741,Authorised Retailer
120,110 Block 604 Yishun Street 61 #01-323 Afro Asia C,110 Block 604 Yishun Street 61 #01-323 Afro Asia Co Pte Ltd 760604,,,,760604,Authorised Retailer
