outlet_name,open_mon,close_mon,open_tue,close_tue,open_wed,close_wed,open_thu,close_thu,open_fri,close_fri,open_sat,close_sat,open_sun,close_sun,open_time,close_time,open_hours_daily,has_varying_hours
Singapore Pools IMM Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Hougang N2 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
NTUC FairPrice Yishun MRT Station,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
NTUC FairPrice Jurong Gateway Road,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Jake Merchandise Associates,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
7-Eleven Store Yishun Ring Road,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Wanrise,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Tay Sui Lan Agency,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,,,8.00 am,7.00 pm,11.0,0
Tampines Trading - 828,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Singapore Pools Woodlands 888 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Tampines Mart Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Clementi N3 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Bencoolen Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Rangoon Provision Shop,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
NTUC FairPrice Bukit Batok MRT Station,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Livewire Singapore Pools,,,,,,,,,,,,,,,,,0.0,0
Livewire Marina Bay Sands,10.00 am,10.00 pm,10.00 am,10.00 pm,10.00 am,10.00 pm,10.00 am,10.00 pm,10.00 am,10.00 pm,10.00 am,10.00 pm,10.00 am,10.00 pm,10.00 am,10.00 pm,12.0,0
Lee Eng Trading Store,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
