outlet_name,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,latitude,longitude,onemap_address,planning_area,region,geocode_status,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,neighborhood_type,dominant_landuse_1000m,landuse_diversity_1000m,win_rate_hdb_1000m
7-Eleven Store Owen Road,210045,Authorised Retailer (7-Eleven),7,16,23,matched,1.31559567579803,103.850825476141,45 OWEN ROAD SINGAPORE 210045,KALLANG,CENTRAL REGION,OK,395740,5264,0,58042,12316,30,0.9869,1334648,258096,34814,368795,112256,79,0.8307,2844715,676804,162642,737136,270785,250,0.7942,residential,residential,5,0.291139
Xie Sheng Departmental Service Company,470632,Authorised Retailer,6,27,33,matched,1.33205094618817,103.914145075793,632 BEDOK RESERVOIR ROAD EUNOS GROVE SINGAPORE 470632,BEDOK,EAST REGION,OK,452339,66334,38230,32225,60071,73,0.8466,1649917,482044,38230,231762,85407,168,0.7691,2962798,1023577,152954,332658,314872,321,0.7342,residential,residential,5,0.196429
Singapore Pools Woodlands N3 Branch,730305,Branch,6,47,53,matched,1.43036145835565,103.774102414119,305 WOODLANDS STREET 31 FUCHUN NEIGHBOURHOOD CENTRE SINGAPORE 730305,WOODLANDS,NORTH REGION,OK,392236,0,41197,218181,49567,75,0.9525,1007039,369922,51197,256992,347007,168,0.7231,1856580,772637,51197,330569,1681690,270,0.7022,residential,residential,5,0.315476
Singapore Pools LOT One Branch,689812,Authorised Retailer (FairPrice),6,21,27,matched,1.38493874036122,103.745022476677,21 CHOA CHU KANG AVENUE 4 CHOA CHU KANG LIBRARY SINGAPORE 689812,CHOA CHU KANG,WEST REGION,OK,405645,17623,0,20208,130652,62,0.9584,1259567,48764,39224,179594,243694,285,0.9493,2732545,67371,47724,533903,409848,538,0.968,residential,residential,5,0.094737
Singapore Pools Jurong West N2 Branch,640276,Branch,6,16,22,matched,1.35360972722828,103.703730685947,276 JURONG WEST STREET 25 MULTI STOREY CAR PARK SINGAPORE 640276,JURONG WEST,WEST REGION,OK,178020,316323,0,71583,39074,30,0.3601,728781,1325587,0,186811,65106,134,0.3547,1792744,1848477,42009,418647,1802032,350,0.4924,mixed,commercial,4,0.164179
Singapore Pools Jurong East Branch,600351,Branch,6,45,51,matched,1.34483235593159,103.730778253202,351 JURONG EAST STREET 31 YUHUA PLACE SINGAPORE 600351,JURONG EAST,WEST REGION,OK,363418,0,43091,65516,225945,43,0.947,933896,0,128848,238686,543934,142,0.9394,2836159,2365,243477,611497,1412485,449,0.9597,residential,residential,4,0.359155
Singapore Pools Hougang N3 Branch,530322,Branch,6,23,29,matched,1.36709855359263,103.89697867894,322 HOUGANG AVENUE 5 SINGAPORE 530322,HOUGANG,NORTH-EAST REGION,OK,404200,136577,5286,30400,28772,59,0.745,1112772,840461,63542,136903,220228,166,0.5675,2177150,1742675,151972,350458,358398,338,0.5534,mixed,residential,5,0.174699
Singapore Pools Gek Poh Shopping Centre (Jurong West N7) Branch,640762,,6,43,49,scraped,1.34874357136408,103.697732091001,762 JURONG WEST STREET 75 GEK POH SHOPPING CENTRE SINGAPORE 640762,JURONG WEST,WEST REGION,OK,432555,13751,0,81047,14157,84,0.9692,1292992,760665,10155,237182,83313,285,0.629,2336684,1271025,74189,402233,269338,517,0.6447,mixed,residential,5,0.17193
Singapore Pools Funan Branch,179105,Branch,6,12,18,matched,1.29134759697794,103.849989790085,107 NORTH BRIDGE ROAD FUNAN SINGAPORE 179105,DOWNTOWN CORE,CENTRAL REGION,OK,0,182734,0,134099,355828,0,0.0,42379,883797,121869,362571,530293,16,0.0986,723072,1593321,305897,502540,794878,54,0.3341,commercial,commercial,5,1.125
Singapore Pools Circuit Road 64 Branch,370064,Branch,6,14,20,matched,1.32698404492367,103.887148432844,64 CIRCUIT ROAD SINGAPORE 370064,GEYLANG,CENTRAL REGION,OK,490596,56078,0,35773,12620,101,0.8974,1069743,872720,0,173347,53032,144,0.5507,1953301,2501201,5917,337819,87916,213,0.4386,mixed,residential,4,0.138889
Singapore Pools Bukit Batok Central Branch,650642,Branch,6,50,56,matched,1.34900647948549,103.751706683374,642 BUKIT BATOK CENTRAL SINGAPORE 650642,BUKIT BATOK,WEST REGION,OK,408675,58521,0,64738,46091,81,0.8747,1479649,300663,80299,155241,654272,282,0.8168,2921062,661903,131832,420217,940833,481,0.8041,residential,residential,5,0.198582
Singapore Pools Ang Mo Kio N6 Branch,560630,Branch,6,38,44,matched,1.38054138917049,103.841068277331,630 ANG MO KIO AVENUE 4 YIO CHU KANG VIEW SINGAPORE 560630,ANG MO KIO,NORTH-EAST REGION,OK,517575,0,34418,107402,27782,55,0.9688,1259102,107319,88747,588702,371407,91,0.8958,2669416,437226,214311,749438,518315,215,0.8361,residential,residential,5,0.483516
NTUC FairPrice Yishun Ring Road,760849,Authorised Retailer (FairPrice),6,30,36,matched,1.4169831658118,103.835218177871,849 YISHUN RING ROAD MLC (YISHUN) PTE. LTD. SINGAPORE 760849,YISHUN,NORTH REGION,OK,491485,0,46251,83114,83410,110,0.957,1905053,0,56322,278875,274872,251,0.9856,2646905,19812,135753,375692,568533,389,0.9687,residential,residential,4,0.143426
NTUC FairPrice Serangoon North Avenue 1,552152,Authorised Retailer (FairPrice),6,32,38,matched,1.36979940374161,103.87303579046,152B SERANGOON NORTH AVENUE 1 SINGAPORE 552152,SERANGOON,NORTH-EAST REGION,OK,533701,2480,47464,57679,40082,99,0.9551,1410210,484587,62925,184545,91083,169,0.7364,3607942,786913,67066,391517,384603,314,0.8161,residential,residential,5,0.224852
NTUC FairPrice Havelock Road,160050,Authorised Retailer (FairPrice),6,10,16,matched,1.28977813992267,103.826793758887,50 HAVELOCK ROAD MY FIRST SKOOL SINGAPORE 160050,BUKIT MERAH,CENTRAL REGION,OK,414723,15386,19898,89928,31474,56,0.9437,1770417,97270,104139,235010,91554,235,0.9243,3554913,407235,151307,559637,221635,356,0.8826,residential,residential,5,0.068085
NTUC FairPrice Changi Business Park,486018,Authorised Retailer (FairPrice),6,23,29,matched,1.33491977663975,103.963653900382,8 CHANGI BUSINESS PARK AVENUE 1 CHANGI LINK @ ESR BIZPARK @ CHANGI SINGAPORE 486018,TAMPINES,EAST REGION,OK,0,398524,0,0,0,0,0.0,252548,1431224,0,316194,21182,0,0.15,1004687,1856281,0,474380,1450523,52,0.3512,commercial,commercial,4,0.0
Ng Nam Thye Trading - Taman Jurong,610399,Authorised Retailer,6,27,33,matched,1.3350420286067,103.72026802061,399 YUNG SHENG ROAD IMAN CHILDCARE (JURONG) PTE. LTD. SINGAPORE 610399,JURONG WEST,WEST REGION,OK,468899,167353,28317,48093,18555,82,0.7269,870348,744276,28317,121576,583531,132,0.5384,1532275,2154556,90897,262794,1196015,204,0.4176,mixed,residential,5,0.25
