outlet_name,address,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,latitude,longitude,onemap_address,planning_area,x_svy21,y_svy21,geocode_status,proxy_500m,proxy_750m,proxy_1000m,proxy_1500m,area_type,region,pa_hdb_units,win_rate_1000m
NTUC FairPrice Toa Payoh HDB Centre,NTUC FairPrice Toa Payoh HDB Centre500 Lorong 6 Toa Payoh #B1-32/#01-33 HDB Centre Singapore 310500,310500,Authorised Retailer (FairPrice),12,34,46,matched,1.33285542884681,103.847092284316,500 LORONG 6 TOA PAYOH HDB HUB SINGAPORE 310500,TOA PAYOH,29532.8697974812,35005.9023080505,OK,0,0,0,0,residential,CENTRAL REGION,42185,0.0
NTUC FairPrice Clementi Avenue 3,NTUC FairPrice Clementi Avenue 3Block 451 Clementi Avenue 3 #01-307 Singapore 120451,120451,Authorised Retailer (FairPrice),12,36,48,matched,1.31274380194655,103.76584669599,451 CLEMENTI AVENUE 3 NATIONAL UNIVERSITY POLYCLINICS (CLEMENTI POLYCLINIC) SINGAPORE 120451,CLEMENTI,20491.020717415,32782.1588857807,OK,26730,26730,26730,26730,residential,WEST REGION,26730,0.00179574
Singapore Pools Yishun N1 Branch,Singapore Pools Yishun N1 BranchBlock 101 Yishun Avenue 5 #01-37 Singapore 760101,760101,Branch,11,58,69,matched,1.4305357538408,103.827667722074,101 YISHUN AVENUE 5 SINGAPORE 760101,YISHUN,27371.1442933977,45806.8930951077,OK,0,0,0,0,residential,NORTH REGION,65614,0.0
Singapore Pools Whampoa Drive Branch,Singapore Pools Whampoa Drive BranchBlock 88 Whampoa Drive #01-857 Singapore 320088,320088,Branch,11,54,65,matched,1.32324726968904,103.855171553668,88 WHAMPOA DRIVE SINGAPORE 320088,NOVENA,30432.0176650314,33943.4877558779,OK,0,0,0,0,commercial,CENTRAL REGION,0,0.0
Singapore Pools Teck Whye Branch,Singapore Pools Teck Whye BranchBlock 141 Teck Whye Lane #01-271 Singapore 680141,680141,Branch,11,48,59,matched,1.38041161319004,103.75257991701,141 TECK WHYE LANE SINGAPORE 680141,CHOA CHU KANG,19014.8012396181,40264.5708438009,OK,0,0,0,49026,residential,WEST REGION,49026,0.0
Singapore Pools Tanjong Pagar Branch,Singapore Pools Tanjong Pagar BranchBlock 1 Tanjong Pagar Plaza #01-49/50 Singapore 082001,082001,Branch,11,61,72,matched,1.27568847511494,103.842433449984,1 TANJONG PAGAR PLAZA MULTI STOREY CAR PARK SINGAPORE 082001,OUTRAM,29014.4129549386,28684.6724204067,OK,0,1995,1995,1995,residential,CENTRAL REGION,1995,0.03609023
Singapore Pools Jurong West N5 Branch,Singapore Pools Jurong West N5 BranchBlock 508 Jurong West Street 52 #01-166 Singapore 640508,640508,Branch,11,64,75,matched,1.34872718063365,103.718715391434,508 JURONG WEST STREET 52 HONG KAH POINT SINGAPORE 640508,JURONG WEST,15245.933758907,36761.215448048,OK,0,0,0,0,residential,WEST REGION,75206,0.0
Singapore Pools IMM Branch,Singapore Pools IMM Branch2 Jurong East Street 21 #02-63 IMM Building Singapore 609601,609601,Branch,11,45,56,matched,1.33487526118006,103.746894773008,2 JURONG EAST STREET 21 IMM BUILDING SINGAPORE 609601,JURONG EAST,18381.9356864095,35229.409786731,OK,0,0,0,0,residential,WEST REGION,24122,0.0
Singapore Pools Hougang N2 Branch,Singapore Pools Hougang N2 BranchBlock 211 Hougang Street 21 #01-309 Singapore 530211,530211,Branch,11,56,67,matched,1.35962289225618,103.887717332865,211 HOUGANG STREET 21 KOVAN CITY SINGAPORE 530211,HOUGANG,34053.9490069114,37965.7754739299,OK,57557,57557,57557,57557,residential,NORTH-EAST REGION,57557,0.00116406
NTUC FairPrice Yishun MRT Station,NTUC FairPrice Yishun MRT Station301 Yishun Avenue 2 #01-02 Yishun MRT Singapore 769093,769093,Authorised Retailer (FairPrice),11,49,60,matched,1.42944308477331,103.835005047246,301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093,YISHUN,28187.6788169928,45686.0705381557,OK,0,0,0,65614,residential,NORTH REGION,65614,0.0
