outlet_name,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,latitude,longitude,onemap_address,x_svy21,y_svy21,planning_area,geocode_status
Singapore Pools Toa Payoh Lorong 4 Branch,310085,Branch,2,19,21,matched,1.33628536216028,103.848428644103,85 LORONG 4 TOA PAYOH SINGAPORE 310085,29681.5903852927,35385.1676504873,,OK
Singapore Pools Northpoint City Branch,769098,Branch,2,15,17,matched,1.42946660837667,103.835790714459,930 YISHUN AVENUE 2 NORTHPOINT CITY (NORTH WING) SINGAPORE 769098,28275.1118530668,45688.6717384085,,OK
Singapore Pools Lorong Lew Lian Branch,531002,Branch,2,22,24,matched,1.35060795612848,103.875680063863,2 LORONG LEW LIAN LEW LIAN GARDENS SINGAPORE 531002,32714.358027162,36968.9227365479,,OK
Singapore Pools Lengkok Bahru Branch,152063,Branch,2,19,21,matched,1.28907506834277,103.815318433481,63B LENGKOK BAHRU LENGKOK BAHRU HEIGHTS SINGAPORE 152063,25996.7366270702,30164.8980171885,,OK
Singapore Pools Jalan Batu Branch,431007,Branch,2,20,22,matched,1.30237002555566,103.88359641393,7 JALAN BATU DI TANJONG RHU SINGAPORE 431007,33595.467508208,31635.0345080309,,OK
Singapore Pools Geylang Rd Branch,389233,,2,6,8,scraped,1.31130947616377,103.874198645525,149 GEYLANG ROAD GEYLANG CONSERVATION AREA SINGAPORE 389233,32549.564746513,32623.4942967426,,OK
Singapore Pools Fajar Road Branch,670445,Branch,2,23,25,matched,1.38358032362676,103.770768501474,445 FAJAR ROAD FAJAR SHOPPING CENTRE SINGAPORE 670445,21038.9723480316,40614.8899751026,,OK
Singapore Pools Empress Road Branch,260008,Branch,2,17,19,matched,1.31641190098174,103.805373811937,8 EMPRESS ROAD FARRER GARDENS SINGAPORE 260008,24890.0181612354,33187.6745305806,,OK
Singapore Pools Chai Chee Branch,461036,Branch,2,17,19,matched,1.32534102499628,103.92543538387,36 CHAI CHEE AVENUE ANSAR GARDEN SINGAPORE 461036,38251.6753160208,34175.1843283568,,OK
Singapore Pools Bukit Batok N3 Branch,650324,Branch,2,15,17,matched,1.36216472766267,103.747628122263,324 BUKIT BATOK STREET 33 SINGAPORE 650324,18463.6560643073,38246.9401018452,,OK
Singapore Pools Bishan N1 Branch,570152,Branch,2,12,14,matched,1.34565720294218,103.854641447626,152 BISHAN STREET 11 BISHAN GREEN SINGAPORE 570152,30373.0006963592,36421.4630514719,,OK
Singapore Pools Balestier Road Branch,320002,Branch,2,14,16,matched,1.32589620218837,103.842935480003,2 BALESTIER ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 320002,29070.2638017088,34236.3844964262,,OK
Sheng Siong Sengkang West Ave,790455,Authorised Retailer,2,15,17,matched,1.39183688254074,103.871190376558,455 SENGKANG WEST AVENUE FERNVALE WOODS SINGAPORE 790455,32214.6340397419,41527.8003921676,,OK
Sheng Siong Marsiling Mall,738623,Authorised Retailer,2,5,7,matched,1.43354318137534,103.77988189197,4 WOODLANDS STREET 12 MARSILING MALL HAWKER CENTRE SINGAPORE 738623,22053.3037563628,46139.5079379082,,OK
Seah Koon Huat (Boon Tiong Rd),161011,,2,11,13,scraped,1.28636578139912,103.828789865335,11A BOON TIONG ROAD TIONG BAHRU VIEW SINGAPORE 161011,27495.9920684313,29865.3124154545,,OK
Seah Geok Eng Agency - Upper Serangoon View,537476,Authorised Retailer,2,18,20,matched,1.37791506138102,103.903623796196,476D UPPER SERANGOON VIEW HOUGANG CAPEVIEW SINGAPORE 537476,35824.0950025981,39988.4776468258,,OK
S E Store,600352,Authorised Retailer,2,13,15,matched,1.34492289474517,103.730400848037,352 JURONG EAST STREET 31 YUHUA PLACE SINGAPORE 600352,16546.3794579934,36340.4981624465,,OK
Prime Woodlands,730678,,2,15,17,scraped,1.43998366608733,103.801293104268,678 WOODLANDS AVENUE 6 ADMIRALTY PLACE SINGAPORE 730678,24436.0586690316,46851.6200061701,,OK
Prime Joo Seng,360001,Authorised Retailer,2,5,7,matched,1.33429242412799,103.878746207181,1 UPPER ALJUNIED LANE SINGAPORE 360001,33055.6189497802,35164.8402472492,,OK
Prime Compassvale Street,540263,Authorised Retailer,2,23,25,matched,1.39484816528775,103.896042268385,263 COMPASSVALE STREET COMPASSVALE NORTH GATE SINGAPORE 540263,34980.3154496225,41860.8319343012,,OK
Prime Admiralty Place,731678,Authorised Retailer,2,15,17,matched,1.44054545356313,103.801759723219,678A WOODLANDS AVENUE 6 MULTI STOREY CAR PARK SINGAPORE 731678,24487.9870272568,46913.7389286179,,OK
Precise Optics,179098,,2,13,15,scraped,1.29222075807721,103.850612609298,111 NORTH BRIDGE ROAD CONSULATE OF NEPAL SINGAPORE 179098,29924.6763157565,30512.7316022031,,OK
NTUC FP Shaw Plaza,329783,,2,3,5,scraped,1.32525301846661,103.850995830211,360 BALESTIER ROAD SINGAPORE 329783,29967.2997812312,34165.2694751974,,OK
NTUC FP Jurong Point,648886,,2,24,26,scraped,1.3394520043632,103.706685012926,1 JURONG WEST CENTRAL 2 GOLDEN VILLAGE (GV JURONG POINT) SINGAPORE 648886,13907.0305282837,35735.67771223,,OK
NTUC FairPrice Tiong Bahru Plaza,168732,Authorised Retailer (FairPrice),2,23,25,matched,1.28646345355064,103.826935079694,302 TIONG BAHRU ROAD GOLDEN VILLAGE (GV TIONG BAHRU) SINGAPORE 168732,27289.5699887881,29876.1129400861,,OK
NTUC FairPrice The Woodleigh Mall,367803,Authorised Retailer (FairPrice),2,18,20,matched,1.33869419209869,103.871750105256,11 BIDADARI PARK DRIVE BIDADARI COMMUNITY CENTRE SINGAPORE 367803,32277.0183821376,35651.5520587377,,OK
NTUC FairPrice Telok Blangah Street 32,101078,Authorised Retailer (FairPrice),2,9,11,matched,1.27338751489362,103.808980553946,78A TELOK BLANGAH STREET 32 MULTI STOREY CAR PARK SINGAPORE 101078,25291.3679326326,28430.2551556826,,OK
NTUC FairPrice Tai Seng,539775,Authorised Retailer (FairPrice),2,16,18,matched,1.33631557522577,103.888825620348,18 TAI SENG STREET 18 TAI SENG SINGAPORE 539775,34177.347278473,35388.5730408002,,OK
NTUC FairPrice Sengkang East Ave,540279,Authorised Retailer (FairPrice),2,10,12,matched,1.38621835522425,103.89299549602,279 SENGKANG EAST AVENUE COMPASSVALE ANCILLA SINGAPORE 540279,34641.2740479829,40906.581959093,,OK
NTUC FairPrice Punggol Plaza,820168,Authorised Retailer (FairPrice),2,36,38,matched,1.39423719717117,103.913047323223,168 PUNGGOL FIELD PUNGGOL PLAZA SINGAPORE 820168,36872.7560856491,41793.3313643504,,OK
